time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-28T08:30:42.818Z,-29.3602,-71.0244,78.31,5,mww,,123,0.448,0.72,us,us700046ge,2019-07-18T07:04:33.664Z,"64km NNE of La Serena, Chile",earthquake,6,3.8,0.069,20,reviewed,us,us
2019-06-27T23:37:58.693Z,-17.5588,-69.9057,163.82,4,mb,,101,0.407,0.95,us,us700046cf,2019-07-21T03:54:33.040Z,"16km SE of Tarata, Peru",earthquake,6.6,7.9,0.156,11,reviewed,us,us
2019-06-26T07:29:48.470Z,-29.4437,-71.3976,39.43,4.4,mb,,184,0.493,0.5,us,us7000456w,2019-07-03T05:47:52.040Z,"53km NNW of La Serena, Chile",earthquake,8,3.6,0.379,2,reviewed,us,us
2019-06-26T01:41:07.348Z,-32.4546,-70.0032,106.23,4.3,mb,,72,0.555,0.75,us,us70004518,2019-07-10T22:14:19.040Z,"69km NE of Los Andes, Chile",earthquake,5.1,6,0.217,6,reviewed,us,us
2019-06-25T19:20:16.733Z,-21.8394,-68.5133,120.27,4.5,mb,,43,0.678,0.71,us,us700044ud,2019-07-26T15:16:32.040Z,"81km NNE of Calama, Chile",earthquake,3.8,5.7,0.074,56,reviewed,us,us
2019-06-25T12:36:59.030Z,-20.1104,-68.1921,169.65,4.2,mb,,84,0.903,0.79,us,us600045pg,2019-07-26T08:55:49.040Z,"133km W of Colchani, Bolivia",earthquake,5.9,4.6,0.115,21,reviewed,us,us
2019-06-25T08:34:30.839Z,-21.1118,-69.0072,113.83,4.1,mb,,79,0.453,0.66,us,us600045mt,2019-07-02T08:34:46.040Z,"150km N of Calama, Chile",earthquake,4.4,5.2,0.158,11,reviewed,us,us
2019-06-24T10:33:15.338Z,-30.5089,-71.7621,10,4.5,mb,,164,0.742,0.87,us,us6000456b,2019-07-24T09:00:17.040Z,"54km W of Ovalle, Chile",earthquake,5.8,1.7,0.22,6,reviewed,us,us
2019-06-24T04:42:41.991Z,-38.6348,-73.3766,26.46,4.5,mwr,,143,1.244,1.01,us,us6000453d,2019-07-29T20:52:45.040Z,"19km WNW of Carahue, Chile",earthquake,6.7,5.4,,,reviewed,us,guc
2019-06-23T17:09:22.722Z,-21.9987,-70.3938,28.66,4.5,mb,,137,0.596,1.08,us,us600044vy,2019-07-22T15:49:21.040Z,"22km WNW of Tocopilla, Chile",earthquake,3.2,5.6,0.097,31,reviewed,us,us
2019-06-20T21:15:59.170Z,-33.577,-67.6901,205.02,4.6,mb,,110,1.948,0.94,us,us600043xm,2019-06-21T04:38:20.040Z,"90km SE of San Martin, Argentina",earthquake,5.9,6.9,0.103,28,reviewed,us,us
2019-06-20T20:13:37.479Z,-20.9698,-67.8138,211.85,4,ml,,134,1.501,0.75,us,us600043v0,2019-07-16T23:06:08.040Z,"117km SW of Colchani, Bolivia",earthquake,9,18.8,,,reviewed,us,guc
