YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,CAUSE_CODE,FOCAL_DEPTH,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE,COUNTRY,EVENT_VALIDITY
1586,7.0,10.0,0.0,30.0,,1.0,60.0,-12.3,-77.7,8.5,PERU,4
1604,11.0,24.0,18.0,30.0,,1.0,30.0,-17.88,-70.94,8.5,PERU,4
1674,2.0,17.0,11.0,30.0,,1.0,40.0,-3.75,127.75,6.8,INDONESIA,4
1687,10.0,20.0,10.0,30.0,,1.0,30.0,-13.5,-76.5,8.5,PERU,4
1746,10.0,29.0,3.0,30.0,,1.0,30.0,-11996,-77198,8.0,PERU,4
1783,2.0,5.0,12.0,0.0,,1.0,13.0,38.3,15967,6.9,ITALY,4
1841,5.0,17.0,21.0,30.0,,1.0,30.0,52,158,8.4,RUSSIA,4
1843,2.0,8.0,14.0,50.0,,1.0,33.0,16.5,-62.2,8.3,GUADELOUPE (FRENCH TERRITORY),4
1852,11.0,25.0,22.0,40.0,,1.0,100.0,-5.25,129.75,8.3,INDONESIA,4
1867,11.0,18.0,18.0,45.0,,1.0,33.0,18.1,-65.1,7.5,USA TERRITORY,4
1868,8.0,13.0,21.0,30.0,,1.0,25.0,-18.6,-71,8.5,CHILE,4
1868,10.0,18.0,12.0,35.0,,1.0,12.0,-40.2,173,7.6,NEW ZEALAND,4
1872,3.0,14.0,8.0,20.0,,1.0,33.0,34.9,132,7.4,JAPAN,4
1889,9.0,6.0,12.0,,,1.0,70.0,1,126.25,8.0,INDONESIA,4
1897,2.0,19.0,20.0,50.0,,1.0,33.0,38.1,141.9,7.4,JAPAN,4
1897,9.0,21.0,5.0,12.0,,1.0,33.0,6,122,8.7,PHILIPPINES,4
1901,8.0,9.0,9.0,23.0,30.0,1.0,33.0,40.5,142.5,7.2,JAPAN,4
1901,8.0,9.0,18.0,33.0,45.0,1.0,33.0,40.6,142.3,7.4,JAPAN,4
1901,8.0,9.0,20.0,0.0,,1.0,33.0,40.5,142.5,6.3,JAPAN,4
1904,6.0,25.0,14.0,45.0,36.0,1.0,30.0, RUSSIA,52,8.3,RUSSIA,4
1905,9.0,8.0,1.0,43.0,11.0,1.0,15.0,38.67,16.07,7.1,ITALY,4
1906,1.0,31.0,15.0,35.0,51.0,1.0,25.0,1,-81.5,8.8,ECUADOR,4
1906,9.0,14.0,16.0,4.0,18.0,1.0,33.0,-7,149,8.0,PAPUA NEW GUINEA,4
1907,1.0,4.0,5.0,19.0,12.0,1.0,50.0,2,94.5,7.6,INDONESIA,4
1908,9.0,21.0,6.0,31.0,,1.0,33.0,19,-155,6.8,USA,4
1909,3.0,13.0,14.0,29.0,,1.0,80.0,34.5,141.5,7.5,JAPAN,4
1909,8.0,14.0,6.0,30.0,0.0,1.0,33.0, JAPAN,35.4,6.9,JAPAN,4
1909,12.0,9.0,23.0,28.0,,1.0,100.0, MARIANA ISLANDS,12.5,8.0,USA TERRITORY,4
1911,6.0,15.0,14.0,26.0,,1.0,160.0,28,130,8.0,JAPAN,4
1913,10.0,11.0,4.0,6.0,3.0,1.0,33.0,-7,148,7.0,PAPUA NEW GUINEA,4
1914,5.0,26.0,14.0,22.0,47.7,1.0,15.0,-1829,136943,8.1,INDONESIA,4
1915,11.0,1.0,7.0,23.0,43.0,1.0,60.0,38.3,142.9,7.8,JAPAN,4
1916,4.0,26.0,2.0,21.0,52.0,1.0,25.0,9.6,-82,7.0,PANAMA,4
1917,5.0,1.0,18.0,27.0,,1.0,60.0,-29.2,-177,8.0,NEW ZEALAND,4
1917,5.0,6.0,12.0,19.0,,1.0,33.0,23.2,121.6,5.8,TAIWAN,4
1917,6.0,26.0,5.0,49.0,42.0,1.0,25.0,-15.5,-173,8.3,SAMOA,4
1918,8.0,15.0,12.0,18.0,12.0,1.0,33.0,5.5,123,8.3,PHILIPPINES,4
1918,9.0,7.0,17.0,16.0,,1.0,33.0,45.5,151.5,8.2,RUSSIA,4
1918,11.0,8.0,4.0,38.0,,1.0,33.0,44.5,151.5,7.8,RUSSIA,4
1918,12.0,4.0,11.0,47.0,48.0,1.0,33.0,-26,-71,7.8,CHILE,4
1919,4.0,30.0,7.0,17.0,17.3,1.0,25.0,-18352,-172515,8.1,TONGA,4
1922,11.0,11.0,4.0,32.0,36.0,1.0,35.0,-28553,-70755,8.7,CHILE,4
1923,2.0,3.0,16.0,1.0,41.0,1.0,19.0,54,161,8.3,RUSSIA,4
1923,4.0,13.0,15.0,31.0,2.0,1.0,20.0,56.5,162.5,7.2,RUSSIA,4
1923,6.0,1.0,17.0,24.0,0.0,1.0,40.0, JAPAN,35.4,7.3,JAPAN,4
1923,9.0,1.0,2.0,58.0,37.0,1.0,33.0,35.1,139.5,7.9,JAPAN,4
1923,9.0,2.0,2.0,46.0,40.0,1.0,20.0,34.9,140.2,7.7,JAPAN,4
1926,9.0,16.0,17.0,59.0,15.0,1.0,35.0,-9674,159519,6.9,SOLOMON ISLANDS,4
1927,6.0,26.0,11.0,20.0,48.0,1.0,27.0, BLACK SEA,44.4,6.0,UKRAINE,4
1927,8.0,5.0,21.0,13.0,1.1,1.0,10.0,37.9,142,6.9,JAPAN,4
1927,8.0,18.0,19.0,28.0,,1.0,20.0, JAPAN,34.2,6.4,JAPAN,4
1927,9.0,11.0,22.0,15.0,48.0,1.0,17.0, BLACK SEA,44.4,6.8,UKRAINE,4
1927,11.0,4.0,13.0,50.0,43.0,1.0,10.0,34813,-120774,7.3,USA,4
1927,12.0,28.0,18.0,20.0,34.2,1.0,35.0,55663,160039,7.5,RUSSIA,4
1928,3.0,22.0,4.0,17.0,,1.0,60.0,15.67,-96.1,7.7,MEXICO,4
1928,5.0,27.0,9.0,50.0,0.0,1.0,40.0,40,143.2,7.0,JAPAN,4
1928,6.0,17.0,3.0,19.0,33.1,1.0,35.0,16028,-97036,7.7,MEXICO,4
1929,3.0,7.0,1.0,34.0,37.9,1.0,50.0, ALEUTIAN ISLANDS, AK,7.8,USA,4
1929,5.0,21.0,16.0,35.0,,1.0,30.0,31.7,132.2,7.1,JAPAN,4
1930,12.0,23.0,21.0,35.0,36.0,1.0,33.0,-1.3,144.3,6.5,PAPUA NEW GUINEA,4
1931,3.0,9.0,3.0,49.0,0.0,1.0,60.0,41.2,142.5,7.6,JAPAN,4
1931,10.0,3.0,19.0,13.0,20.8,1.0,35.0,-10932,161016,7.8,SOLOMON ISLANDS,4
1931,11.0,2.0,10.0,2.0,,1.0,40.0,32.2,132.1,7.1,JAPAN,4
1932,6.0,3.0,10.0,36.0,50.0,1.0,33.0,19.5,-104.25,8.1,MEXICO,4
1932,6.0,18.0,10.0,12.0,16.1,1.0,54.0,19452,-103632,7.9,MEXICO,4
1932,6.0,22.0,12.0,59.0,24.0,1.0,33.0,19,-104.5,7.0,MEXICO,4
1933,3.0,2.0,17.0,31.0,0.9,1.0,35.0,39224,144622,8.4,JAPAN,4
1933,6.0,18.0,21.0,37.0,0.0,1.0,20.0,38.1,142.4,7.1,JAPAN,4
1934,2.0,14.0,3.0,59.0,34.0,1.0,55.0,17.5,119,7.9,PHILIPPINES,4
1934,11.0,30.0,2.0,5.0,10.0,1.0,5.0,18.5,-105.5,7.0,MEXICO,4
1935,10.0,12.0,16.0,45.0,0.0,1.0,10.0,39.9,143.7,7.2,JAPAN,4
1935,10.0,18.0,0.0,11.0,0.0,1.0,10.0,40.7,144.3,7.0,JAPAN,4
1936,4.0,1.0,2.0,9.0,15.0,1.0,60.0,4.5,126.5,7.7,INDONESIA,4
1936,7.0,13.0,11.0,12.0,15.0,1.0,60.0,-24.5,-70,7.3,CHILE,4
1936,11.0,2.0,20.0,46.0,0.0,1.0,40.0,38.2,142.2,7.7,JAPAN,4
1938,6.0,10.0,9.0,53.0,44.6,1.0,35.0,25321,125115,7.6,JAPAN,4
1938,11.0,5.0,8.0,43.0,21.0,1.0,30.0,37.1,141.7,7.7,JAPAN,4
1938,11.0,5.0,10.0,50.0,15.0,1.0,30.0,37.2,141.7,7.6,JAPAN,4
1938,11.0,6.0,8.0,53.0,53.0,1.0,0.0,37.5,141.8,7.5,JAPAN,4
1938,11.0,6.0,21.0,38.0,47.0,1.0,20.0,37,141.7,7.1,JAPAN,4
1938,11.0,10.0,20.0,18.0,41.2,1.0,25.0, AK,55.48,8.2,USA,4
1938,11.0,13.0,22.0,31.0,,1.0,60.0,37,141.5,6.0,JAPAN,4
1938,11.0,22.0,1.0,14.0,0.0,1.0,10.0,36.7,142.1,6.9,JAPAN,4
1938,11.0,30.0,2.0,29.0,0.0,1.0,50.0,37,142.2,7.0,JAPAN,4
1939,3.0,20.0,3.0,22.0,,1.0,20.0,32.3,132,6.6,JAPAN,4
1939,5.0,8.0,1.0,46.0,52.9,1.0,16.0,37053,-24427,6.5,PORTUGAL,4
1939,12.0,26.0,23.0,57.0,22.6,1.0,35.0,39.77,39533,7.7,TURKEY,4
1940,8.0,1.0,15.0,8.0,24.0,1.0,10.0,44.2,139.5,7.5,JAPAN,4
1941,1.0,13.0,16.0,27.0,44.7,1.0,15.0,-4175,152071,7.4,PAPUA NEW GUINEA,4
1941,6.0,26.0,11.0,52.0,,1.0,55.0, E. COAST INDIA,12.5,7.6,INDIA,4
1941,11.0,18.0,16.0,46.0,,1.0,10.0,32,132.1,7.4,JAPAN,4
1943,4.0,6.0,16.0,7.0,15.0,1.0,35.0,-30.75,-72,8.2,CHILE,4
1943,6.0,13.0,5.0,12.0,0.0,1.0,20.0,41.2,143.3,7.1,JAPAN,4
1944,12.0,7.0,4.0,35.0,,1.0,30.0,34,137.1,8.1,JAPAN,4
1945,1.0,12.0,18.0,38.0,,1.0,33.0,34.7,137.2,7.1,JAPAN,4
1945,2.0,10.0,4.0,57.0,0.0,1.0,20.0,40.9,142.1,7.3,JAPAN,4
1946,8.0,4.0,17.0,51.0,5.0,1.0,15.0,19.25,-69,7.9,DOMINICAN REPUBLIC,4
1946,8.0,8.0,13.0,28.0,33.8,1.0,15.0,19.5,-69.5,7.5,DOMINICAN REPUBLIC,4
1946,12.0,20.0,19.0,19.0,5.0,1.0,20.0,33,135.6,8.1,JAPAN,4
1947,5.0,17.0,7.0,6.0,0.0,1.0,12.0,-38.42,178.88,6.9,NEW ZEALAND,4
1947,11.0,4.0,0.0,9.0,10.0,1.0,33.0,43.8,141,7.0,JAPAN,4
1948,2.0,9.0,12.0,58.0,13.0,1.0,40.0, KARPATHOS IS.,35.5,7.1,GREECE,4
1948,4.0,17.0,16.0,11.0,0.0,1.0,40.0,33.1,135.6,7.2,JAPAN,4
1948,4.0,22.0,10.0,42.0,47.1,1.0,15.0,38532,20427,6.5,GREECE,4
1948,9.0,8.0,15.0,9.0,0.0,1.0,33.0,-21,-174,7.8,TONGA,4
1949,1.0,27.0,11.0,0.0,0.0,1.0,150.0,54.6,163.5,5.9,RUSSIA,4
1949,10.0,19.0,21.0,0.0,19.0,1.0,60.0,-5.5,154,7.5,PAPUA NEW GUINEA,4
1950,10.0,5.0,16.0,9.0,31.0,1.0,33.0,11,-85,7.7,COSTA RICA,4
1950,10.0,23.0,16.0,13.0,20.0,1.0,65.0,14.31,-91917,7.5,GUATEMALA,4
1950,12.0,14.0,14.0,15.0,49.0,1.0,50.0,16.48,-98.22,7.5,MEXICO,4
1951,8.0,21.0,10.0,57.0,0.0,1.0,12.0,19.5,-156,6.9,USA,4
1951,10.0,22.0,5.0,43.0,1.0,1.0,21.0,23.8,121.7,7.3,TAIWAN,4
1952,3.0,4.0,1.0,22.0,41.0,1.0,45.0,42.15,143.85,8.1,JAPAN,4
1952,3.0,9.0,17.0,4.0,0.0,1.0,20.0,41.7,143.6,7.0,JAPAN,4
1952,3.0,17.0,3.0,58.0,0.0,1.0,33.0,19.1,-155,4.5,USA,4
1952,3.0,19.0,10.0,57.0,12.0,1.0,25.0, PHILIPPINES,9.5,7.8,PHILIPPINES,4
1952,11.0,4.0,16.0,58.0,27.9,1.0,22.0,52755,160057,9.0,RUSSIA,4
1953,11.0,25.0,17.0,48.0,,1.0,60.0, JAPAN,34,7.4,JAPAN,4
1953,12.0,12.0,17.0,31.0,25.0,1.0,30.0,-3.4,-80.6,7.4,PERU,4
1954,11.0,18.0,20.0,44.0,55.0,1.0,30.0, JAPAN,38.9,6.1,JAPAN,4
1955,4.0,19.0,20.0,24.0,5.0,1.0,30.0,-30,-72,7.1,CHILE,4
1956,3.0,5.0,23.0,29.0,,1.0,20.0,44.3,144.1,6.3,JAPAN,4
1956,7.0,9.0,3.0,11.0,39.0,1.0,20.0,36.9,26,7.8,GREECE,4
1957,3.0,9.0,14.0,22.0,31.9,1.0,33.0, AK,51292,8.6,USA,4
1957,7.0,28.0,8.0,40.0,1.0,1.0,25.0,16.5,-99.1,7.9,MEXICO,4
1958,1.0,19.0,14.0,7.0,27.0,1.0,60.0,1.5,-79.5,7.6,ECUADOR,4
1958,11.0,6.0,22.0,58.0,8.6,1.0,40.0,44.53,148.54,8.3,RUSSIA,4
1959,1.0,22.0,5.0,10.0,0.0,1.0,40.0,37.5,142.2,6.8,JAPAN,4
1959,5.0,4.0,7.0,15.0,42.0,1.0,60.0,52.5,159.5,8.2,RUSSIA,4
1959,8.0,17.0,21.0,4.0,40.0,1.0,33.0,-7.5,156,7.3,SOLOMON ISLANDS,4
1959,10.0,26.0,7.0,35.0,0.0,1.0,10.0,37.5,143.2,6.7,JAPAN,4
1960,3.0,20.0,17.0,7.0,30.0,1.0,20.0,39.8,143.4,7.5,JAPAN,4
1960,3.0,23.0,0.0,23.0,,1.0,20.0,39.4,143.7,6.7,JAPAN,4
1960,5.0,21.0,10.0,2.0,50.0,1.0,35.0,-37872,-73243,8.2,CHILE,4
1960,5.0,22.0,19.0,11.0,17.0,1.0,33.0,-38143,-73407,9.5,CHILE,4
1960,7.0,29.0,17.0,31.0,45.0,1.0,30.0,40.3,142.5,6.7,JAPAN,4
1961,1.0,16.0,7.0,20.0,0.0,1.0,40.0, JAPAN,36,6.8,JAPAN,4
1961,1.0,16.0,11.0,19.0,0.0,1.0,20.0, JAPAN,36,6.4,JAPAN,4
1961,1.0,16.0,12.0,12.0,0.0,1.0,20.0, JAPAN,36.2,6.5,JAPAN,4
1961,2.0,12.0,21.0,53.0,0.0,1.0,80.0,43.2,147.9,6.6,RUSSIA,4
1961,2.0,26.0,18.0,10.0,48.7,1.0,74.0,31.6,131.8,7.6,JAPAN,4
1961,7.0,18.0,14.0,4.0,0.0,1.0,60.0,29.6,131.8,6.6,JAPAN,4
1961,8.0,11.0,15.0,51.0,0.0,1.0,80.0,42.9,145.6,7.0,JAPAN,4
1961,11.0,15.0,7.0,17.0,0.0,1.0,60.0,42.7,145.7,6.9,JAPAN,4
1962,4.0,12.0,0.0,52.0,43.0,1.0,25.0,38073,142741,7.2,JAPAN,4
1962,4.0,23.0,5.0,58.0,0.0,1.0,60.0,42.2,143.9,7.0,JAPAN,4
1962,5.0,11.0,14.0,11.0,54.1,1.0,40.0,17.2,-99.6,7.0,MEXICO,4
1963,2.0,13.0,8.0,50.0,4.5,1.0,47.0,24.4,122.1,7.3,TAIWAN,4
1963,10.0,12.0,11.0,27.0,0.2,1.0,48.0,44426,149272,7.1,RUSSIA,4
1963,10.0,13.0,5.0,17.0,53.4,1.0,13.0,44772,149798,8.5,RUSSIA,4
1963,10.0,20.0,0.0,53.0,10.9,1.0,28.0,44772,150563,7.9,RUSSIA,4
1964,5.0,7.0,7.0,58.0,0.0,1.0,30.0,40.3,139,6.9,JAPAN,4
1964,6.0,16.0,4.0,1.0,44.3,1.0,40.0,38.65,139.2,7.5,JAPAN,4
1964,7.0,24.0,8.0,12.0,39.0,1.0,15.0,47159,153876,6.8,RUSSIA,4
1964,12.0,10.0,15.0,11.0,7.6,1.0,40.0,40.4,138.9,6.3,JAPAN,4
1965,1.0,24.0,0.0,11.0,12.1,1.0,6.0,-2.4,126.1,7.6,INDONESIA,4
1965,2.0,4.0,5.0,1.0,21.6,1.0,36.0, ALEUTIAN ISLANDS, AK,8.7,USA,4
1965,3.0,30.0,2.0,27.0,3.4,1.0,20.0, ALEUTIAN ISLANDS, AK,7.6,USA,4
